<<<<<<< HEAD
name,state,swagType,lat,lng,info,website
=======
name,state,swagType,lat,lng,info,website
>>>>>>> 5058012d81008eb092031d7983fdd92503d86ad7
Acadia National Park Hulls Cove Visitor Center,Maine,Tag,44.4092,-68.2475,"**September 2025, member reports that there was a Bark Ranger Hike that has already passed, so be sure to keep an eye open for future events like this. 
**September 2025, tags are sold out online.
**July 2025 member reports that info here is correct but added dogs are allowed on the Nature Cruise. 
**July 2025, member reports all well behaved dogs can ride the Island Explorer buses throughout Acadia.
**May 2025, member reports tags are back in stock and had to ask for it.
**April 2025, according to Acadia website, park loop road and paved roads open April 15, unpaved roads open May 15th. Hull Cove Visitor Center set to open May 2, 2025.


Website
Video explaining program at https://www.nps.gov/articles/be-an-acadia-bark-ranger.htm

<<<<<<< HEAD
https://shop.americasnationalparks.org/products/acadia-bark-ranger-dog-tag?fbclid=IwY2xjawMtvnBleHRuA2FlbQIxMABicmlkETFIc216RnJHQ0l0SkZBZmZrAR5hNOr-l6_kw2Q4Mu_Q_a0Vea2vP3snF6gmLIOkgqNDKeb1ngLgXIWXpqu-pw_aem_YDpX2sj21MZ2tHosJmW0ww",https://www.nps.gov/articles/be-an-acadia-bark-ranger.htm
Agate Fossil Beds National Monument,Nebraska,Other,42.4223,-103.759,"November 2024, group moderator report validates other details.  There is no cell service and the nearest gas is 30 miles away. The website indicates an activity booklet.  Daemonelix and Fossil Hills Trails are dog friendly. 
June 2024 member reports no site specific merchandise.",https://www.nps.gov/agfo/planyourvisit/pets.htm
"Alaska Maritime National Wildlife Refuge, Homer, AK",Alaska,Tag,59.6419,-151.5186,"On Monday mornings they do a group walk to learn how to be a good Bark Ranger.  If you are not there on Monday, you are able to speak to a ranger to get a badge.  Dogs are not allowed in the visitor center, but are allowed on all trails.  There is a metal site specific tag. Homer is very dog friendly with pup menus at restaurants.",https://www.fws.gov/refuge/alaska-maritime
Allegheny Portage Railroad National Historic Site,Pennsylvania,Tag,40.4598,-78.5563,July 2025 member reports this Bark Ranger program.  No info given other than the picture of a bone shaped tag and a certificate.  The tag only shows one side and the side shown does not show site specific.,https://www.nps.gov/alpo/planyourvisit/pets.htm
Alum Creek State Park Visitor Center,Ohio,Bandana,40.2195,-82.9774,"**March 2025: Member went to the visitor center, did a pledge and gave the dog a bandana, treat, and certificate.",https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/alum-creek-state-park
=======
https://shop.americasnationalparks.org/products/acadia-bark-ranger-dog-tag?fbclid=IwY2xjawMtvnBleHRuA2FlbQIxMABicmlkETFIc216RnJHQ0l0SkZBZmZrAR5hNOr-l6_kw2Q4Mu_Q_a0Vea2vP3snF6gmLIOkgqNDKeb1ngLgXIWXpqu-pw_aem_YDpX2sj21MZ2tHosJmW0ww",https://www.nps.gov/articles/be-an-acadia-bark-ranger.htm
Agate Fossil Beds National Monument,Nebraska,Other,42.4223,-103.759,"November 2024, group moderator report validates other details.  There is no cell service and the nearest gas is 30 miles away. The website indicates an activity booklet.  Daemonelix and Fossil Hills Trails are dog friendly. 
June 2024 member reports no site specific merchandise.",https://www.nps.gov/agfo/planyourvisit/pets.htm
"Alaska Maritime National Wildlife Refuge, Homer, AK",Alaska,Tag,59.6419,-151.5186,"On Monday mornings they do a group walk to learn how to be a good Bark Ranger.  If you are not there on Monday, you are able to speak to a ranger to get a badge.  Dogs are not allowed in the visitor center, but are allowed on all trails.  There is a metal site specific tag. Homer is very dog friendly with pup menus at restaurants.",https://www.fws.gov/refuge/alaska-maritime
Allegheny Portage Railroad National Historic Site,Pennsylvania,Tag,40.4598,-78.5563,July 2025 member reports this Bark Ranger program.  No info given other than the picture of a bone shaped tag and a certificate.  The tag only shows one side and the side shown does not show site specific.,https://www.nps.gov/alpo/planyourvisit/pets.htm
Alum Creek State Park Visitor Center,Ohio,Bandana,40.2195,-82.9774,"**March 2025: Member went to the visitor center, did a pledge and gave the dog a bandana, treat, and certificate.",https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/alum-creek-state-park
>>>>>>> 5058012d81008eb092031d7983fdd92503d86ad7
Andersonville National Historic Site,Georgia,Tag,32.1987,-84.13,"**March mod updates with address: 
National Prisoner of War Museum
760 POW Road
Andersonville, GA 31711
**January 2026, members shared pictures of tags.  Check the pictures to see. Another member mentioned there were no tasks  but you get a certificate with a paw print.  No cost. Another member mentioned they took pawprints and stamed the park logo and date. The tag had to be mailed but was fast and were told that soon they will do it on site.
**December 2025, site's FB page: Stop by the visitor center to learn how your pup can earn their custom World War I inspired B.A.R.K. Ranger dog tag and join us in protecting this important site.
<<<<<<< HEAD
Members report that the tags are not yet in stock.",https://www.facebook.com/share/p/1CEGHiTz5Q/
Antelope Island State Park,Utah,Tag,41.0458,-112.2356,"**March 2026, member reported getting the tag.
**January 2026, member shared a picture of a cute metal, colored, site specific tag for purchase. The park is building a new visitor center, but there is a temporary VC/gift shop at the just past the marina on the right side after you cross the causeway.  No other bark ranger merch/program right now. 
All of the trails on the island are dog friendly as long as you obey leash laws, of course. And mind the wildlife! There are bison, pronghorn, mule deer, and a variety of small game to be aware of.",https://stateparks.utah.gov/parks/antelope-island/
Apostle Islands National Lakeshore,Wisconsin,Other,46.8111,-90.8172,"September 2025, member adds they had a sweatring in. Booklet has activities to complete, a crossword and word search. Picked up the booklet at Apostle Island National Lakeshore Trail from a Ranger. Needs to be turned in at (and can be picked up from) Ranger station in little Sand Bay. 
August 2025, member confirms info is correct. 
August 2024, member reported that they recieved Bark Ranger buttons and an info booklet at the Little Sand Bay Visitor Center.  Member hiked the ""bowl"" on the lakeshore trail from Meyers Beach, 4.8 miles out and back. The nearby town of Bayfield is super dog friendly and they camped at the Apostle Islands area campground.",https://www.nps.gov/apis/planyourvisit/pets.htm
Appomattox Court House National Historical Park,Virginia,Bandana,37.3817,-78.7973,"June 2025 moderator reports free site specific bandana and ranger signed card. April 2025, member reports program is alive and well! January 2025, group moderator confirmed via email that the park's Bark Ranger program exists. It is a new program.  Go the visitor center, take the pledge, and get a Bark Ranger bandana.",https://www.nps.gov/apco/planyourvisit/pets.htm
Agua Fria National Monument,Arizona,Other,34.25,-112.08,February 2026: Member shared that her dog became a Bark Ranger at the Badger Springs Trail.,https://www.blm.gov/visit/agua-fria
Arabia Mountain National Heritage Area,Georgia,Bandana,33.6457,-84.1207,"July 2025, member reminds that the trails are extremely hot for dogs paws in the summer and recommends booties. 
November 2024, member reports a button in addition to the bandana. 
Co-founder Ben visited with moderator Diane in June 2024. They give you a bandana, ask you to photograph wearing it and showing Bark principles, and email for a drawing. Note that there are a couple places to park.  He parked near the Nature Center and that was the spot to get the bandana.  Seems no specific activities to do. Also, the center is only open on the weekdays.",https://arabiaalliance.org/bark-ranger/
Arkansas Post National Memorial Visitor Center,Arkansas,Tag,34.0203,-91.3503,February 2026: Site specific metal tag is for sale. The site only accepts cash.,https://www.nps.gov/arpo/index.htm
Assateague Island National Seashore,Maryland,Bandana,38.225,-75.1439,February 2026: Dogs are allowed on beachfront. Site specific bandana available ONLY on the Maryland side.,https://www.nps.gov/asis/planyourvisit/pets.htm
Bass River State Forest,New Jersey,Other,39.6463,-74.4154,"February 2026 the park emailed us to inform that the pogram will not be year round.  It will be a monthly event from April to October. 
November 2025 update that there is a BARK event rescheduled to NOVEMBER 30.  Meet at Park Office, free registration, donations accepted. 
October 2025, member reports merchandise is all low in stock, but will be restocked next season. September update from the park that the BARK ranger program is not year round. We will be doing it once a month from April to October. There will be one Sunday, Sept. 14th at 10AM and then another in October (the date TBD).",https://www.nj.gov/dep/parksandforests/parks/bassriverstateforest.html
Batsto Historic Village Wharton State Forest,New Jersey,Bandana,39.6433,-74.6469,"October 2025, member shared pictures of bandanas for sale at the museum for $5.  Many colors and sizes available.",https://batstovillage.org/
Bear Creek Lake Park Visitor Center,Colorado,Tag,39.6583,-105.1583,"September 2025, member reports tags are out of stock until next summer.  In the meantime, they are giving out stickers.  There are two designs and one of them looks like the wooden tag. 
Mid July 2025, member reports that the tags are back in stock.  
July 2025 member reports the entrance fee is $15. They are out of tags but have a sticker. 
July 2025, member reports a site specific Bark Ranger sticker, free of charge, but NO TAGS.  There was a brief swearing in by the front desk and dogs are welcome inside the visitor center.  Come to their visitor center to earn a BARK ranger wooden tag. This is not part of the Colorado State Park System.  They have their own admission, $10 per vehicle, not covered by the state pass.  https://www.lakewood.org/Government/Departments/Community-Resources/Parks-Forestry-and-Open-Space/Park-Programs-and-Events",https://www.lakewood.org/Government/Departments/Community-Resources/Parks-Forestry-and-Open-Space/A-to-Z-Park-List/Bear-Creek-Lake-Park
Bicentennial Capital Mall State Park,Tennessee,Tag,36.1706,-86.7864,"October 2025: Purrk Tag as well as Bark Ranger tags. Pretty, silver site specific tag for sale.",https://tnstateparks.com/parks/bicentennial-mall
Big Ridge State Park,Tennessee,Tag,36.2412,-83.9216,"November 2025, group moderator reports the tags are $10. 
September 2025, member reports that this is a super dog friendly site.  Dogs are allowed in the visitor center.  The member reports that site specific metal tags are on order and due to arrive in a few weeks. In the meantime they bought a nice Bark Ranger sticker for 4.99. 
September 2025, park shared a Bark Ranger HIke series of events every weekend in September at 9 AM. Check website for exact dates. Participants will recieve a free certificate. There will be tags in a few weeks. Online registration is required.",https://tnstateparks.com/parks/events/big-ridge/
Big South Fork National River and Recreation Area,Tennessee,Tag,36.48,-84.7,June 2025: Tags in stock. Site specific metal badge at Bandy Creek Visitor Center.,https://www.nps.gov/biso/planyourvisit/be-a-big-south-fork-bark-ranger.htm
Big Thicket National Preserve,Texas,Certificate,30.4542,-94.3361,"Complete activities to earn a certificate.  Please knock on front door of visitor center to let them know you are there. 
August 2024 member was told by a ranger once they determine there is enough interest in the program they would get more merchandise such as tags.  Member reported completing the Sundew trail.",https://www.nps.gov/bith/planyourvisit/pets.htm
Biscayne National Park,Florida,Tag,25.4633,-80.3361,"**February 2026, member reports that on the Jetty Trail you rmight want your pups wearing shoes due to the limestone surface. Also the trail is quite narrow so be mindful for dogs that might need space. Member reports they got the wooden tag after completeing a quiz. Dogs are not allowed in the visitor center, but their's was. Dogs are allowed on the islands IF you can get them there. Many boats are not dog friendly.  The one island that is not dog friendly is Boca Chita Key/
**December 2024, member reported they recieved a tag mailed from the park.  
**Feb 2024, they have 300 tags in stock and a member recieved one. There is a pledge/certificate as well.  Dogs are allowed at Elliot Key which you can access by boat (unsure if dogs are allowed on the ferry BE SURE TO CALL AND CHECK) and Convoy Point which is close to the visitor center but it was closed for maintenance repair work recently.",https://www.nps.gov/thingstodo/become-a-biscayne-b-a-r-k-ranger.htm
Blackstone River Valley National Historical Park Old Slater Mill,Rhode Island,Tag,42.0629743,-71.6110727,"**March 2026, member reports the visitor center is temprorarily closed and the Roger Williams site does NOT carry hte Blakstone tags.  They spoke with a ranger who claimed the other tag would be mailed.
**September 2025, member reports tags back in stock.  Shares that this site is only 10 minutes away from the Roger Williams site. Free parking. August 2025 member reports tags are out of stock. There is a site specific wooden tag for Blackstone River Valley.  Tags can be found at the Mill, Kelly House Museum of Transportation, and Roger William National Memorial Visitor Center. The Mill Visitor Information Station is closed during the winter, December 15 through April.",https://www.nps.gov/blrv/planyourvisit/be-a-b-a-r-k-ranger.htm
Blackwater Falls Nature Center,West Virginia,Tag,39.1135089,-79.4830082,"**March 2026 member reports they recieved the tag and certificate. 
**November 2025.  Adventure awaits you and your four-legged friend – and they can now become an official West FURginia State Park Ranger. Stop by one of the Nature Center to find out how your critter can earn their official certificate & FREE West Virginia Ranger dog tag. Bonus: We have set aside special cabins, cottages, campgrounds and lodge rooms so you and your family don’t have to leave your best pal behind when you stay overnight at a park or forest.
For parks with seasonal Nature Centers go to the front desk of the lodge/park office depending on the park.  Also, there are other items for sale some of which are colored differently depending on the park.",https://wvstateparks.com/programs/naturalist/
Bledsoe Creek State Park,Tennessee,Tag,36.3767148,-86.3555472,"July 2025, member reports tag for sale in the visitor center. 
October 2024, member reports the park is still out of tags. 
Member report in Aug 2024 that they are out of tags, but supposed to have more in 3 weeks. Details of program/activities/etc unknown.  New to the map. 
Sept 2024 staff member expects out of badges for another month but they are on order.  Trails are almost entirely shaded.  Lots of wildlife - deer, turkeys, and ducks everywhere.",https://tnstateparks.com/parks/bledsoe-creek
